bookID,title,authors,average_rating,isbn,isbn13,language_code,ratings_count,text_reviews_count,year,month,publisher,is_part_of_series,is_box_set,book_length
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,101233,1550,2012,9,Ballantine Books,False,False,Long
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,eng,1710,91,2004,10,Houghton Mifflin Harcourt,False,True,Long
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,2128944,13670,2003,9,Houghton Mifflin Harcourt,True,False,Medium
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,9780618260584,eng,1618,140,2002,10,Houghton Mifflin Harcourt,False,True,Long
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,9780618391004,eng,19822,46,2003,11,Houghton Mifflin Harcourt,False,False,Short
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,359,6,2004,11,Houghton Mifflin Harcourt,False,False,Short
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007,eng,1430,59,2005,7,Pragmatic Bookshelf,False,False,Medium
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,270244,12017,2000,4,Atheneum Books for Young Readers: Richard Jackson Books,True,False,Short
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,9781557344496,eng,36,2,1994,8,Teacher Created Resources,False,False,Short
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,2067,334,2001,1,Delacorte Press,False,False,Short
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,6,0,2003,6,Cherry Lane Music Company,False,False,Short
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,eng,99,16,2005,11,The New Press,False,False,Short
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,167,4,2005,11,Changeling Press,True,False,Medium
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,978,111,2006,8,Viking Juvenile,True,False,Short
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,4454,302,2003,4,Firebird,False,False,Short
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,1176,96,2004,6,iUniverse,False,False,Short
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,301,43,2005,4,Shambhala,False,False,Medium
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,345,12,1990,8,Ivy Books,True,False,Medium
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,29686,2626,2006,8,Amistad,False,False,Medium
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,eng,55,12,2004,6,HarperAudio,False,False,Short
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,22,3,2004,6,Harper,False,False,Medium
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,1456,82,2006,5,FT Press,False,False,Medium
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,52,4,2005,12,Archaia,False,False,Medium
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,562,37,1982,6,Farrar  Straus & Giroux,True,False,Medium
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,eng,1630,203,2006,5,Farrar  Straus & Giroux,False,False,Short
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,268,22,1986,4,Farrar  Straus & Giroux,False,False,Short
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,eng,3498,305,1990,9,Farrar  Straus & Giroux,False,False,Short
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,3115,228,1999,1,Farrar  Straus & Giroux,False,False,Long
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,5704,261,1991,4,Farrar  Straus & Giroux,False,False,Medium
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,698,52,1994,4,Farrar  Straus & Giroux,False,False,Short
81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,542,36,1994,4,Farrar  Straus & Giroux,False,False,Short
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,1341,98,1987,11,Farrar  Straus & Giroux,False,False,Short
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,1423,70,2002,3,Dramatists Play Service  Inc.,False,False,Short
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,2766,64,1991,7,Vintage,False,False,Short
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,31,1,2006,3,Routledge,False,False,Short
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,eng,62,4,2006,3,North Light Books,False,False,Short
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,eng,860,53,2003,9,Chosen Books,False,False,Short
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,eng,77,2,1997,1,Association for Supervision & Curriculum Development,False,False,Short
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,9780753454947,eng,153317,2257,2002,11,Kingfisher,False,True,Medium
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,55,5,2004,11,ASCD,False,False,Short
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,eng,34,6,2003,4,Sovereign World,False,False,Short
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9780761129585,eng,11797,659,2003,10,Workman Publishing Company,False,False,Long
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9780972016414,eng,34,8,2004,5,One Hour Entertainment,False,False,Short
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,eng,78,4,2004,8,North Light Books,False,False,Short
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,2785,166,1987,6,Ace Books,True,False,Medium
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,38778,568,1987,7,Ace Books,True,False,Medium
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,97494,2359,1987,7,Ace Books,True,False,Medium
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,eng,784,21,2004,7,Tor Books,False,False,Medium
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,272,20,1984,4,Putnam,True,False,Medium
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9780765353702,eng,4789,83,2006,8,Tor Science Fiction,False,False,Medium
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,45388,644,1987,8,Ace Books,True,False,Medium
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,26153,102,2002,6,Houghton Mifflin Harcourt,False,False,Short
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,69167,4551,1996,9,Ballantine Books,True,False,Medium
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,45,13,2005,9,Delacorte Books for Young Readers,True,False,Short
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9780785260059,eng,16,1,2004,11,Thomas Nelson,False,False,Short
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,174,16,2006,5,Wiley,False,False,Short
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,eng,10,0,2000,2,Heinemann Drama,False,False,Short
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,76,9,2005,5,William Morrow Paperbacks,False,False,Medium
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,111,9,2006,10,Wiley,False,False,Medium
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,eng,24,0,2006,1,McGraw-Hill,False,False,Short
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,55,4,2004,9,Wiley,False,False,Medium
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,9,0,2006,6,Wiley,False,False,Short
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,eng,22,1,2004,5,Wiley,False,False,Medium
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,eng,17,3,2005,4,Wiley,False,False,Long
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,eng,166,4,2006,7,O'Reilly Media,False,False,Long
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,50,5,2005,5,Citadel,False,False,Short
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,13,2,2005,5,Citadel,False,False,Short
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,64,1,2007,1,O'Reilly Media,False,False,Medium
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,16643,1851,2004,5,Penguin Classics,False,False,Long
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,eng,109420,5696,2002,11,Signet,False,False,Long
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,eng,2904,309,2003,1,Penguin Books Ltd.,False,False,Long
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,eng,16,3,1965,11,Cliffs Notes,False,False,Short
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,9564,726,2003,7,Barnes & Noble Classics,False,False,Long
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,eng,474,72,2004,11,Dover Publications  Inc.,False,False,Long
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,303,48,2004,8,Barnes & Noble,False,False,Long
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,411,65,2006,1,Mira Books,False,False,Medium
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,1204,33,1987,11,Cambridge University Press,False,False,Short
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9780140183955,eng,3429,279,1990,7,Penguin Books Ltd.,False,False,Short
163,The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,2163,216,1998,6,Vintage,False,False,Medium
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9781568491981,eng,613,31,1996,2,Buccaneer Books,False,False,Short
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,eng,308,40,2005,9,Scribner,False,False,Medium
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,0932863051,9780932863058,eng,10,0,1995,1,Clarity Press,False,False,Short
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9780742508804,eng,16,4,2000,12,Rowman & Littlefield Publishers,False,False,Short
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9780205358625,eng,10,0,2003,9,Pearson,False,False,Short
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,1557344035,9781557344038,eng,17,0,1991,9,Teacher Created Resources,False,False,Short
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,9780380720446,eng,1035,23,1994,10,Harper Perennial,False,False,Medium
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,eng,36,6,2002,5,EMC/Paradigm Publishing,True,False,Short
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9780439271691,eng,15,0,2002,1,Teaching Resources,False,False,Short
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,0606105263,9780606105262,spa,6,1,1984,6,Turtleback Books,False,False,Short
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,376,17,1994,6,Little  Brown Book Group,True,False,Medium
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,3086,237,2006,1,William Morrow,True,False,Medium
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9780743499347,eng,352,44,2005,11,Atria Books,False,False,Medium
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9780765313409,eng,9852,633,2006,3,Tor Books,True,False,Medium
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9781400032495,eng,821,78,2004,8,Vintage Crime/Black Lizard,True,False,Short
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,731,72,2005,3,Vintage Crime/Black Lizard,False,False,Short
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,eng,2897,178,2004,8,Vintage Crime/Black Lizard,True,False,Short
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,98,11,1990,10,Vintage,False,False,Short
231,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,20888,1688,2005,8,Picador USA,False,False,Long
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,9780806930770,eng,66,19,2001,10,Sterling,False,False,Short
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,0140366601,9780140366600,eng,81,6,1996,10,Puffin,False,False,Short
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,0811201120,9780811201124,eng,981,52,1964,2,New Directions Publishing,False,False,Short
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,3381,141,1994,1,Grove Press,False,False,Short
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,0802131786,9780802131782,eng,53206,2376,1994,1,Grove Press,False,False,Medium
250,Tropic of Capricorn,Henry Miller,3.78,0802151825,9780802151827,eng,14872,459,1994,1,Grove Press,False,False,Medium
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,0802151787,9780802151780,eng,3261,58,1994,1,Grove Press,True,False,Medium
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,0802151809,9780802151803,eng,7805,251,1994,1,Grove Press,True,False,Medium
253,The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,9780811201063,eng,2699,142,1970,1,New Directions,False,False,Short
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,0141439637,9780141439631,eng,61640,1951,2003,9,Penguin Classics,False,False,Long
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9781593080969,eng,392,41,2004,1,Barnes & Noble Classics,False,False,Medium
277,Writing,Marguerite Duras,3.75,1571290532,9781571290533,eng,778,44,1999,5,Brookline Books,False,False,Short
278,The War,Marguerite Duras/Barbara Bray,3.85,1565842219,9781565842212,eng,963,65,1994,8,The New Press,False,False,Short
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,0394743040,9780394743042,eng,2057,128,1986,3,Pantheon,False,False,Short
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,9781851681822,eng,203,8,1999,7,One World (UK),False,False,Short
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9781566562492,eng,35,2,1998,4,Interlink Publishing Group,False,False,Medium
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9780140195538,eng,328,16,1998,1,Penguin Books Ltd.,False,False,Short
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,0394431243,9780394431246,eng,1308,82,1995,2,Knopf,False,False,Short
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,0806501901,9780806501901,eng,6432,517,2003,3,Citadel,False,False,Short
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9780679439202,eng,3015,217,2011,6,Knopf,False,False,Short
295,Treasure Island,Robert Louis Stevenson,3.83,0753453800,9780753453803,eng,318753,6734,2001,9,Kingfisher,False,False,Medium
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,9781402714573,eng,420,42,2004,10,Sterling Children's Books,False,False,Short
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9781416500292,eng,5967,276,2005,6,Simon & Schuster,False,False,Short
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,0689854684,9780689854682,eng,104,14,2003,7,Atheneum Books for Young Readers,False,False,Short
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,0517221144,9780517221143,eng,56,4,2002,9,Gramercy Books,False,False,Short
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,9781577658054,eng,91,16,2006,1,Abdo Publishing Company,False,False,Short
313,100 Years of Lynchings,Ralph Ginzburg,4.61,0933121180,9780933121188,eng,88,4,1996,11,Black Classic Press,False,False,Short
324,Cien años de soledad,Gabriel García Márquez,4.07,0785950109,9780785950103,spa,63,7,1990,1,French & European,False,False,Medium
330,On Beyond Zebra!,Dr. Seuss,4.04,0394800842,9780394800844,eng,2815,164,1955,9,Random House Books for Young Readers,False,False,Short
332,The Wedding Clause,Debbie Raleigh,3.6,0821778250,9780821778258,eng,95,13,2005,6,Zebra,False,False,Short
333,The Zebra Wall,Kevin Henkes,3.44,0060733039,9780060733032,eng,217,24,2005,2,Greenwillow Books,False,False,Short
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9788432216060,spa,4136,255,2002,6,Booket,False,False,Short
348,The Door Into Summer,Robert A. Heinlein,4.01,0345413997,9780345413994,eng,17232,649,1997,6,Del Rey,False,False,Medium
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,9780441788385,eng,251872,6241,1991,10,Ace,False,False,Medium
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,9780441748600,eng,10293,193,1988,6,Ace Books,False,False,Medium
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,9780345316509,eng,15970,438,1985,10,Del Rey,False,False,Medium
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,0765314932,9780765314932,eng,6898,200,2006,8,Tor Books,True,False,Short
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,0671742515,9780671742515,eng,67803,1401,1991,2,Pocket Books,True,False,Medium
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,0345455290,9780345455291,eng,22091,746,2005,4,Del Rey,True,False,Short
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,0345476514,9780345476517,eng,2623,49,2005,12,Del Rey,False,False,Medium
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,0345368436,9780345368430,eng,885,84,1998,10,Ballantine Books,False,False,Short
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,9781417622856,eng,5,0,2003,7,Turtleback Books,False,False,Medium
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,0573650969,9780573650963,eng,100,13,2011,1,Samuel French  Inc.,False,False,Short
385,On Bullshit,Harry G. Frankfurt,3.57,0691122946,9780691122946,eng,9358,995,2005,1,Princeton University Press,False,False,Short
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,0393329402,9780393329407,eng,9318,907,2005,9,W. W. Norton & Company,False,False,Medium
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,0671867423,9780671867423,eng,120,15,1993,6,Simon & Schuster,False,False,Medium
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,0395883970,9780395883976,eng,5239,76,1998,2,HMH Books for Young Readers,False,False,Short
399,Underworld,Don DeLillo,3.92,0684848155,9780684848150,eng,1505,175,1998,7,Scribner,False,False,Long
400,Libra,Don DeLillo,3.99,0140156046,9780140156041,eng,11857,564,1991,5,Penguin,False,False,Medium
403,Americana,Don DeLillo,3.43,0140119485,9780140119480,eng,393,55,1989,7,Penguin Books Ltd.,False,False,Medium
404,Running Dog,Don DeLillo,3.43,0679722947,9780679722946,eng,1356,72,1989,7,Vintage Contemporaries,False,False,Short
406,Cosmopolis,Don DeLillo,3.22,0743244257,9780743244251,eng,460,41,2004,4,Scribner,False,False,Short
407,Great Jones Street,Don DeLillo,3.48,0140179178,9780140179170,eng,2492,145,1994,1,Penguin Books Ltd.,False,False,Short
408,The Names,Don DeLillo,3.64,0679722955,9780679722953,eng,3100,212,1989,7,Vintage,False,False,Medium
409,Against the Day,Thomas Pynchon,4.13,159420120X,9781594201202,eng,5296,587,2006,11,Penguin Press,False,False,Long
410,V.,Thomas Pynchon,3.96,0060930217,9780060930219,eng,1415,177,2005,7,Harper Perennial Modern Classics,False,False,Medium
411,The Crying of Lot 49,Thomas Pynchon,3.69,0060931671,9780060931674,eng,2161,230,1999,4,Harper Perennial,False,False,Short
412,Gravity's Rainbow,Thomas Pynchon,4.01,0140283382,9780140283389,eng,762,213,2000,1,Penguin Books Ltd.,False,False,Long
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,0312423209,9780312423209,eng,8086,602,2004,1,Picador USA,False,False,Long
414,Vineland,Thomas Pynchon,3.69,0141180633,9780141180632,eng,702,69,1997,9,Penguin Classics,False,False,Medium
